ImageId, PositionX, PositionY, PositionZ, RotationX, RotationY, RotationZ, AspectRatio, FocalLength, RadialDistortionK1, RadialDistortionK2
0, -0.0276335, -0.0101761, 0.00350319, -1.27056673486461, -1.17773025431281, 1.10188483679241, 1.5049, 1.45137, 0.0114892, -0.0115164
1, 0.0093511, -0.0069085, -0.0106251, -1.27244285442294, -1.092645499625, 1.11897852862593, 1.5049, 1.49765, -0.000327365, 0.000327372
2, 0.00810639, -0.00335438, -0.0116527, -1.26884541807328, -1.09269747974769, 1.12408503599491, 1.5049, 1.49426, 0.00167798, -0.00167942
3, 0.00397525, -0.00505473, -0.0120044, -1.26976087909388, -1.09070563096849, 1.11975829628305, 1.5049, 1.48934, 0.000634152, -0.000634364
4, 0.02921, -0.0115218, -0.00935478, -1.27087730575477, -1.08721836214984, 1.11736773278416, 1.5049, 1.52296, -0.00235732, 0.00235664
5, 0.0100726, -0.00905585, -0.0113587, -1.26892637567662, -1.08516761250056, 1.11819952512662, 1.5049, 1.4992, -0.00192028, 0.00192074
6, 0.00950373, -0.00822229, -0.0101715, -1.26978102513256, -1.08625428435968, 1.11754055271236, 1.5049, 1.49868, 0.000266114, -0.000266136
7, 0.0123172, -0.00810361, -0.0115556, -1.26964023092658, -1.08498519938472, 1.11685059566634, 1.5049, 1.50245, 0.000382676, -0.000382707
8, 0.0110895, -0.0080438, -0.0109311, -1.27112497864829, -1.08568379489545, 1.11438021994143, 1.5049, 1.49947, 0.000212582, -0.000212618
9, 0.0152576, -0.00755763, -0.0109294, -1.270424324368, -1.08505530342631, 1.11677829345966, 1.5049, 1.50477, 8.80269E-05, -8.79668E-05
10, 0.00685059, -0.007117, -0.0107044, -1.2721111060249, -1.08277326261627, 1.11580870975814, 1.5049, 1.49489, -0.000161447, 0.000161224
11, 0.00591978, -0.00564758, -0.0111604, -1.27256500095137, -1.07865900952135, 1.10991314772226, 1.5049, 1.49347, 0.000212227, -0.000212175
12, -0.00633702, 0.000315926, -0.0127554, -1.26982747406843, -1.06944686380883, 1.10466946148172, 1.5049, 1.47612, 0.00067779, -0.000677379
13, 0.00188411, -0.00100699, -0.0111263, -1.27536122199165, -1.0636855704308, 1.09624594525731, 1.5049, 1.48688, -0.000423026, 0.000423104
14, -0.0043661, 0.0021997, -0.0111187, -1.27739071780308, -1.06060003137105, 1.08992810931637, 1.5049, 1.4778, -0.000626295, 0.000626206
15, -0.00248898, 0.00324367, -0.0122128, -1.28316822929394, -1.05859571403842, 1.08336041876391, 1.5049, 1.48027, 0.0006363, -0.00063624
